Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene6414	73.5110499301699	5.25640927033979	1.99372499824878	2.63647658275682	0.00837719820852857	1	6	0	3	9	477	0	1	3
gbgene6438	115.770371694185	-2.65491487044764	0.794560642942778	-3.34136216540345	0.000833683987738911	1	745	70	73	104	15	17	70	46
gbgene6508	383.861376574859	-2.90777078621767	1.50294613557481	-1.93471390450435	0.0530254131484448	1	172	1895	61	31	11	9	13	443
gbgene6517	1178.76484196373	1.70698237340523	0.757484959094227	2.25348682229464	0.024228470687577	1	411	318	764	902	556	3874	872	1356
gbgene6612	4606.20670287058	1.25392693167919	0.701765062575627	1.78681869267902	0.0739667971305699	1	2614	1521	3862	3879	2328	13436	3511	4808
gbgene6737	28.4326008919676	-3.47612405258137	1.17630427618238	-2.95512319640875	0.00312544219506532	1	5	139	8	17	3	3	5	10
gbgene6888	82.7747793124693	-3.65237571610112	1.51478068514888	-2.41115809827094	0.015901953593895	1	757	3	46	8	6	0	35	20
gbgene6966	63.5320445731242	1.50775372791072	1.32366766829533	1.13907271743856	0.254672825694442	1	16	3	3	135	111	1	178	145
gbgene7080	21.2180474158477	1.19682699821955	1.28492312848453	0.931438598689648	0.351626732360934	1	4	2	35	15	7	5	134	2
gbgene7312	1265.28491359225	-1.46731438356739	0.790964936149297	-1.8550940964726	0.0635827906879074	1	6346	808	807	1084	737	114	891	1338
gbgene7327	17.6238603767896	1.59173145721143	1.22669952922052	1.29757240407752	0.194434310011947	1	2	2	4	32	5	68	13	6
gbgene7367	2285.8484269666	-4.63451921726802	1.86426148660649	-2.48598131247362	0.0129194749658012	1	7	4	18229	178	428	73	7	134
gbgene7370	15.695776668839	-4.25789118983471	1.64825924252139	-2.58326547183275	0.00978699826924921	1	155	3	1	0	1	1	2	3
gbgene7607	25.7832825301046	0.556650676819044	1.35632495041298	0.4104109982269	0.681504479728065	1	4	1	76	8	12	4	6	134
gbgene7616	46.8299023380662	-3.23514904623431	3.20177902399692	-1.01042233770266	0.312292990277626	1	448	6	0	0	0	0	22	26
gbgene7708	217.096317577177	2.22730625361165	1.07575670125332	2.07045538365386	0.0384097200240279	1	119	51	116	47	38	997	64	106
gbgene7843	112.923799839395	-1.68946155252599	0.900506724446908	-1.87612319448659	0.0606383654268081	1	719	43	55	59	25	24	99	106
gbgene7993	21.3123480195068	-3.47918004113814	2.14600163680791	-1.6212382979881	0.104966542149761	1	0	118	0	1	8	0	3	3
gbgene8110	27.5136833381373	-2.33362165870084	1.02919997106766	-2.26741325719239	0.0233649923848706	1	171	15	23	19	7	0	20	17
gbgene8156	105.554234166196	-3.3495742076406	1.273446115515	-2.63032268647347	0.00853038559136465	1	73	524	22	4	16	4	37	31
gbgene8206	102.357445681294	0.489581871979559	3.22750112471963	0.151690689812568	0.879430900647351	1	0	0	2	403	397	0	0	5
gbgene8815	389.109312224483	5.82183257877274	1.6591034727452	3.50902320103024	0.000449755669387033	1	5	16	22	10	5	2406	6	13
gbgene8954	12.0985777203648	-1.99431462756078	1.2708621477127	-1.56926117529754	0.116587094902915	1	1	3	5	81	2	2	14	5
