Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbgene6727	1449.33637570322	-3.98459791111237	0.944893580250906	-5.14235358307405	2.71317873575564e-07	0.00355100832935699
gbgene4711	7070.60798573771	-4.01443467701031	0.942188227240767	-5.12248447759511	3.01535925730651e-07	0.00394650219596276
gbgene2067	915.678754494827	-4.00210584337453	0.943737979757946	-5.12102454462484	3.03880086211799e-07	0.00397718256834003
gbgene9480	1457.18792941672	-3.96997781821185	0.945179836015965	-5.11895248837914	3.07237342236592e-07	0.00402112233519251
gbgene4712	785.915686713268	-4.08687356930552	0.937467117871291	-5.08878912647311	3.60357049369454e-07	0.00471635306214741
gbgene2840	440.973625660176	-4.29717028131828	0.905933569946595	-5.08142430763488	3.74615284945386e-07	0.00490296484936522
gbgene4691	290.763863045396	-4.08199442682817	0.940147776334343	-5.06139905300188	4.16191081477223e-07	0.0054471088743739
gbgene11592	1300.42561097184	2.31602309746157	0.461751235625325	5.01552369493645	5.28892056225181e-07	0.00692213923187517
gbgene11962	11638.0330684713	-4.1973144647465	0.91430981879648	-5.01442605683783	5.31920032811018e-07	0.0069617693894306
gbgene14914	36.3208027850273	2.96859143865777	0.589444829621147	4.9967139399141	5.8315473610232e-07	0.00763232918610716
gbgene6556	276.711535354305	-3.9721840360153	0.801972993232067	-4.99197331222163	5.9765514791209e-07	0.00782211057587344
gbgene883	135.664167005473	3.08556028878085	0.618012468112822	4.98254948575614	6.2751935341275e-07	0.00821297329746608
gbgene10127	71.0704236906563	-3.75261316407618	0.752447410065832	-4.95933826433951	7.07337088998651e-07	0.00925762782081435
gbgene13992	15832.3698906476	-4.09001364305755	0.926827304673175	-4.94542638233809	7.59773796556539e-07	0.00994391944933198
