Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbgene11431	0.686633509465775	0.992574216106295	0.978579375554006	1.01259827347844	0.311252084872245	NA
gbgene11448	5.06672282237829	-0.244684102147924	0.966527922550687	-0.254004519797235	0.799492066300028	NA
gbgene11449	17.7866325080167	-3.19410838548804	0.939356312716621	-3.42510150594595	NA	NA
gbgene11450	3.07722731756754	-0.76341467098785	0.912605889211931	-0.831590930522394	0.405639883092708	NA
gbgene11453	3.30568243606023	0.748761690907847	0.920260277229675	0.817663240431922	0.413549505917873	NA
gbgene11468	4.32060898119338	-0.604315399484846	0.722106945756811	-0.836222221542125	0.403029899451591	NA
gbgene11470	1.41498166500131	-0.716314706018115	0.975036356184358	-0.744414159799894	0.456625955183374	NA
gbgene11482	24.3055481529665	-2.65515859814051	0.947469098451628	-2.88148391829237	NA	NA
gbgene11486	0.722492571903274	0.878098346888286	0.976287901253629	0.912155039955996	0.361687107804067	NA
gbgene11496	0.184209353653245	0.345921389501931	0.830253551491668	0.387278094844924	0.698550340495924	NA
gbgene11499	0.238689662156652	-0.331977796594118	0.830253551491668	-0.431113473587965	0.66638586425656	NA
gbgene11500	0.184209353653245	0.345921389501931	0.830253551491668	0.387278094844924	0.698550340495924	NA
gbgene11509	0.461398224020265	-0.360494010163123	0.835026359100505	-0.396905278296705	0.691437311725451	NA
gbgene11512	1.56949757557298	-0.952259155691055	0.851404954816832	-1.2217375593088	0.221806887923555	NA
gbgene11515	1.25424691693917	-1.07971357099971	0.880407050781887	-1.22326401247674	0.221229994961298	NA
gbgene11526	0.838589889578859	-0.755948278183558	0.940246070791656	-0.86029492509143	0.389626489647955	NA
gbgene11543	0.472856289965363	0.659993580945908	0.833565776617634	0.717231047907382	0.47323154472446	NA
gbgene11554	0.517961054695307	0.685513347729565	0.834019674972116	0.751827258998126	0.452154946951284	NA
gbgene11555	0.210136662584296	-0.331977796594118	0.830253551491668	-0.396478525681061	0.691752046689057	NA
gbgene11556	0.210136662584296	-0.331977796594118	0.830253551491668	-0.396478525681061	0.691752046689057	NA
gbgene11559	0.464481450478328	-0.355487933666146	0.835121652611241	-0.396905278296705	0.691437311725451	NA
gbgene11563	1.49278754445003	0.25528293680188	0.973688268186229	0.25957756084805	0.795189646993284	NA
gbgene11564	0.303554184731571	0.167460497054409	0.830545697794135	0.182467468217567	0.855215882361452	NA
gbgene11565	14.5318501216599	-2.36438980647057	0.977931741909834	-2.93979342127198	NA	NA
gbgene11593	2.67634231351536	-0.118910183489511	0.775226739131541	-0.153784709011511	0.87777949084716	NA
gbgene11598	9.50520783104319	-2.92276493241077	0.92445994060721	-3.08035886239518	NA	NA
gbgene11599	1.52085487447335	0.107668161900605	0.977664249492179	0.111651038556649	0.911100102067041	NA
gbgene11602	1.67422790918218	-0.777454214122179	0.952236546992934	-0.890924804783981	0.372969512078817	NA
gbgene11605	0.803134607807222	-0.271708171267225	0.941549166311717	-0.324965927718826	0.745206859090036	NA
gbgene11624	0.808550999471429	-0.758830348921332	0.942445752730838	-0.855223133695243	0.392427631604496	NA
gbgene11625	0.93182741744293	-0.285632925191527	0.847911860864927	-0.333563113223819	0.738709256853217	NA
gbgene11628	0.369074837221854	-0.265593535677319	0.832107967011547	-0.28827219996859	0.773138385530293	NA
gbgene11657	0.664983459968913	-0.398256952989247	0.97727261918999	-0.413869829917276	0.678969440165644	NA
gbgene11659	0.408622516023719	-0.0375570351066822	0.911610735659996	-0.0381638999726141	0.969557003563602	NA
gbgene11680	15.031867953969	-0.0631030820007517	0.936617903654468	-0.0675661344538379	NA	NA
gbgene11684	0.454532867749109	-0.860743662864786	0.930812163480634	-0.892797509428969	0.371965620349797	NA
gbgene11689	1.24095420983036	-0.857152629556916	0.977990972560482	-0.862723273987415	0.38828963285794	NA
gbgene11700	2.46142856358541	-0.524231543659262	0.957118265237598	-0.542928311281679	0.587179162266431	NA
gbgene11701	4.90848742687472	-1.10644217610519	0.772169059707476	-1.4302114102668	0.152656351574158	NA
gbman.GBUE021025-PA.1	0.19717300811877	0.00697179645390634	0.830253551491668	0.00839401719480959	0.993302621926253	NA
gbgene11710	4.072793205227	-0.796839511177937	0.80429531745379	-0.98377100379698	0.325228119321594	NA
gbman.GBUE006114-PA.1	3.99005050756996	-0.332079211777235	0.924063748864162	-0.360079590850947	0.718787614690253	NA
gbgene11720	2.79941577316757	0.204450225553186	0.97328726870626	0.209059626380727	0.834401691734599	NA
gbgene11723	1.32408406658502	1.72071086739288	0.959991627268379	1.83175496164275	0.0669879360750826	NA
gbgene11728	0.184646773596821	-0.331977796594118	0.830253551491668	-0.365797074610896	0.714516502948058	NA
gbgene11732	0.403507425016793	-0.522855335299616	0.831534449370636	-0.624408293838558	0.532359479626699	NA
gbgene11733	0.630409987752887	-0.737065676016883	0.837598486681026	-0.827942199884411	0.407703234453188	NA
gbgene11734	0.184646773596821	-0.331977796594118	0.830253551491668	-0.365797074610896	0.714516502948058	NA
gbgene11737	0.750577609782464	-0.19359834529456	0.930800932791123	-0.242028052244689	0.808758426750661	NA
gbgene11743	0.43454982495477	-0.61184376899672	0.833269460627674	-0.667091640548076	0.50471359944289	NA
gbgene11744	0.19717300811877	0.00697179645390634	0.830253551491668	0.00839401719480959	0.993302621926253	NA
gbgene11771	552.30051741756	-3.74537018010395	0.94651806254638	-4.40857153026643	NA	NA
gbgene11772	0.932385833665024	0.744852051699018	0.979069535788234	0.741601239192799	0.458328972524732	NA
gbgene11795	1.12204679869561	-1.49607444156864	0.977957334494385	-1.50009191375021	0.133590595283077	NA
gbgene11796	3.0896501776546	-0.0804268127692669	0.78513587085354	-0.10205841403414	0.918710309390527	NA
gbgene11806	0.78349575622609	1.27973085747314	0.948266131652139	1.28254368040711	0.199651992333619	NA
gbgene11810	0.743878707416257	0.00873245828890644	0.942459197291562	0.00905973721782193	0.992771474433934	NA
gbgene11824	0.549203264018104	0.979268090371684	0.933107182686667	1.00441471478895	0.315178760313996	NA
gbgene11831	0.187292580111307	0.345921389501931	0.830253551491668	0.391148809573975	0.695687243981569	NA
gbgene11834	1.34729112374193	0.446495568678404	0.96595469672311	0.457006213123289	0.647666579711662	NA
gbgene11849	1.10788064158093	-0.914319856263832	0.8452507381934	-1.07237509900178	0.283551587765231	NA
gbgene11863	0.791586505221022	-0.654060570724208	0.973888501480529	-0.678150182056761	0.497676475691935	NA
gbgene11869	0.885119362905198	1.26869450916947	0.977893692002229	1.31598468090122	0.188179184406732	NA
gbgene11870	3.15268688881995	0.321615923814633	0.979055230162113	0.332690833527833	0.739367669563336	NA
gbgene11873	2.28810722445042	0.625978568475773	0.941936789539583	0.668835436499681	0.503600458996905	NA
gbgene11874	4.34196871964061	-1.1515385393115	0.816231192778761	-1.39776313481729	0.162184208152621	NA
gbgene11884	10.2385303080654	-1.3748969645303	0.917178114422449	-2.30356334337899	NA	NA
gbgene11895	2.46243622572818	0.648570317310707	0.97864627401829	0.666826856084164	0.504882736179067	NA
gbgene11896	0.571501259907509	-0.464547130693622	0.927201116338438	-0.545718044410285	0.585259766375063	NA
gbgene11899	1.40771052948972	1.91490602135631	0.951925401846647	2.00754549311251	0.0446916116929941	NA
gbgene11905	3.06276035928609	-2.76582988172718	0.930165403544302	-2.8913885762735	0.00383543570765296	NA
gbgene11906	3.82553269642517	-0.35518557314304	0.870448768772613	-0.409081833400175	0.682479607584893	NA
gbgene11914	1.70254230920833	0.229736461312649	0.926681986542277	0.253127084063573	0.800170010188433	NA
gbgene11922	3.36468350300747	-0.411692617345431	0.65139028929642	-0.631418872251458	0.52776667951945	NA
gbgene11953	3.31986231436522	-0.636295000510481	0.788901109246122	-0.800455488718019	0.423446942783939	NA
gbgene11954	3.06089743191589	-1.76484241626712	0.895228039012307	-1.92267682894113	0.0545206485826232	NA
gbgene11984	1.73977972608845	0.572643863227166	0.932638991778913	0.613945656004413	0.539251238844551	NA
gbgene11995	0.575398725257502	0.718044957515885	0.835033420695449	0.793318115869376	0.427592504703804	NA
gbgene12013	4.05753030449361	0.644722001004477	0.841653600798498	0.764009671068561	0.444861479382291	NA
