Gene_id,GB-12-6_S45,GB-12-5_S44,GB-12-13_S47,GB-12-15_S48,GB-18-1_S41,GB-18-2_S42,GB-18-3_S43,SB-18-8-S46
jg18425,261,414,302,310,374,77,368,522
jg19999,206,349,103,69,52,92,118,84
jg7620,2,9,3,2,1,2,10,6
jg27217,365,595,491,379,273,566,454,407
jg27593,261,354,267,552,209,271,376,409
jg34439,18,55,1,0,2,0,3,7
11292_g,1,1,0,2,0,0,3,3
jg22140,142,316,188,669,371,1,473,452
jg11283,23,65,31,40,37,6,60,34
jg8604,3445,7040,2350,5342,3767,520,5779,5244
jg31569,318,516,337,226,277,567,711,311
jg34618,6,8,2,0,1,1,0,1
jg15221,44,40,26,9,14,44,17,13
jg34231,0,0,0,0,0,0,0,0
jg29972,0,0,0,0,6,1,0,0
jg20994,3,6,3,4,1,0,12,6
jg16197,0,0,0,0,0,0,1,0
jg24975,1863,3957,3160,2706,2020,3700,3284,3269
jg13131,23461,38261,28763,25557,19444,33012,30642,39000
jg13644,7313,12476,3505,5481,4673,2,8664,8148
jg23780,0,0,2,1,1,0,5,8
jg19665,3,4,0,0,1,0,1,0
jg17441,41,97,2,3,72,510,69,5
jg29733,0,0,0,0,0,0,0,0
jg31357,80,122,36,32,9,40,76,89
jg4289,17,54,54,22,25,34,31,18
jg37355,0,0,0,1,0,4,0,0
jg31378,19,18,22,21,17,18,30,58
jg32406,720,915,1732,1315,640,1459,1159,1239
jg5949,0,1,16,2,1,21,0,1
jg11255,179,703,343,809,571,102,932,667
jg26312,79,158,90,391,90,42,379,579
jg18887,2100,5256,2667,4199,2931,335,4133,4127
jg3887,40,76,251,275,91,525,285,243
jg30965,1227,50,2,17,9,13,6,51
jg27173,1826,3146,2195,1980,1857,3140,2324,2313
jg2411,0,0,0,0,0,0,0,0
jg15030,28,27,14,15,11,12,10,19
jg19342,252,16,1,7,3,0,7,4
jg22918,17,93,21,62,39,4,53,40
jg117,0,4,0,0,0,0,0,0
jg24835,0,0,0,0,0,1,0,0
jg18888,576,1494,1169,1623,1096,745,1435,1788
jg18861,16,21,278,11,99,7,229,122
jg32719,3,23,7,0,1,1,1,2
jg33100,128,279,266,249,135,191,225,281
jg32751,17,51,3,4,10,2,9,2
jg5324,1128,3068,1024,2756,2541,1,3272,3622
jg6170,7,0,1,0,3,2,0,0
jg12768,1,0,3,0,1,0,1,6
jg1924,260,338,302,157,159,214,405,249
jg1569,74,94,124,45,82,84,122,115
jg13486,0,0,0,0,0,0,0,0
jg29274,0,0,1,1,0,1,2,0
jg13136,15,9,2,0,6,1,6,9
jg25125,34,94,12,8,20,33,14,59
jg600,0,0,0,0,0,0,0,0
jg16314,406,1177,416,1021,778,101,1277,1164
jg12416,287,614,95,349,201,1,311,296
jg8299,2,1,0,0,0,0,3,1
jg9992,0,0,0,0,0,0,1,1
jg3009,6,0,15,20,13,18,0,16
jg7728,1,0,0,0,0,0,0,0
jg17451,23,55,31,31,21,58,48,55
jg4992,0,0,0,0,0,0,0,0
jg775,0,0,0,0,0,0,0,0
jg1762,0,0,0,0,0,0,0,0
jg1361,7828,15040,16598,17732,10332,26766,21511,14616
jg11458,1188,2358,830,1647,1187,118,2090,1734
36295_g,0,0,0,0,0,0,0,0
jg30701,0,6,9,0,0,1,3,3
jg34101,357,992,775,853,978,751,669,1047
jg32015,21,63,40,113,80,18,63,64
jg29427,0,0,0,0,0,0,0,0
jg28021,5,0,0,0,0,0,0,0
jg1206,0,3,1,0,2,0,1,2
jg28471,395,611,497,382,186,544,427,486
jg33255,30,51,50,48,38,47,75,78
jg29701,21,15,99,116,33,187,42,72
jg1278,0,0,0,1,0,0,0,0
jg1370,0,1,0,0,0,0,0,0
jg3084,0,6,1,2,14,10,45,13
jg33558,3,12,6,8,6,1,6,10
jg7521,33,49,71,45,35,73,71,72
jg25422,0,0,1,0,0,0,0,1
jg19829,2418,5721,2311,4744,3037,695,4984,4938
jg9468,0,0,0,0,0,0,0,0
jg13013,296,605,640,651,257,715,908,514
jg18168,0,0,2,0,0,0,2,0
jg12441,6,5,27,12,9,17,15,16
jg37286,0,0,0,0,0,0,0,0
jg31218,6,1,3,1,5,5,1,1
jg9137,0,0,0,0,0,0,0,0
jg35707,0,0,0,0,0,1,0,0
