Genes	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene518	1329	805	808	1130	740	716	1092	1294
gbgene519	759	224	749	913	644	485	1024	1329
gbgene520	0	0	0	0	0	0	0	0
gbgene521	0	0	0	0	0	0	0	0
gbgene522	21	14	17	14	5	9	13	20
gbgene523	0	0	0	4	0	0	2	0
gbgene524	70	29	78	56	31	10	57	107
gbgene525	1821	699	502	1393	542	0	880	936
gbgene526	312	189	189	478	200	1	260	222
gbgene527	40	21	18	0	9	0	86	62
gbgene528	46	60	35	39	45	34	38	50
gbgene529	144	4	110	317	363	2	391	286
gbgene530	19	0	9	23	42	0	36	46
gbgene531	316	142	188	669	371	1	473	453
gbgene532	7	10	26	42	16	0	28	37
gbgene533	0	0	0	1	4	0	0	0
gbgene534	0	2	0	0	2	1	4	5
gbgene535	4	2	22	17	3	0	15	6
gbgene536	38	20	10	41	14	0	36	26
gbgene537	0	0	0	0	1	0	1	0
gbgene538	0	0	0	0	0	0	0	0
gbgene539	98198	46386	21515	33334	25051	15	42229	47384
gbgene540	1	7	15	41	22	1	15	11
gbgene541	9295	4143	2205	2215	3135	6210	3801	4482
gbgene542	235	254	18	22	9	6	36	28
gbgene543	14183	6995	3038	5587	4104	9	5549	7801
gbgene544	134	88	61	75	119	11	123	124
gbgene545	50	60	27	92	94	37	58	86
gbgene546	500	217	203	310	316	131	340	393
gbgene547	93	226	176	210	125	156	187	142
gbgene548	0	0	0	0	0	0	0	0
gbgene549	7	6	13	1	2	4	8	16
gbgene550	211	57	15	32	15	37	35	19
gbgene551	157	133	301	520	309	140	555	454
gbgene552	113	94	57	60	38	0	173	161
gbgene553	2293	1441	779	1468	820	192	1321	1336
gbgene554	27006	15867	6489	10957	9875	3	13261	16007
gbgene555	50	19	26	17	19	2	47	79
gbgene556	226	239	430	579	411	392	613	462
gbgene557	0	0	0	0	0	0	0	0
gbgene558	0	0	0	0	0	0	0	0
gbgene559	16749	9266	5203	9892	7179	358	12223	11682
gbgene560	55	34	20	7	12	7	25	31
gbgene561	4725	2573	4640	5081	3688	3491	5232	7193
gbgene562	190	68	43	88	44	9	87	73
gbgene563	26	2	0	0	0	3	0	0
gbgene564	459	587	1090	940	279	2323	906	1109
gbgene565	4	3	8	4	1	1	10	5
gbgene566	209	8	515	20	3	19	616	788
gbgene567	88	53	206	157	66	160	114	171
gbgene568	1364	466	771	1905	1454	48	2170	1765
gbgene569	1101	497	458	751	626	236	821	881
gbgene570	1648	665	1330	2044	1275	891	2134	1972
gbgene571	1063	515	587	939	651	168	974	955
gbgene572	107	88	102	368	222	40	327	224
gbgene573	34	39	44	31	37	28	59	54
gbgene574	0	0	0	0	4	0	1	2
gbgene575	0	1	0	0	0	0	1	0
gbgene576	0	0	0	0	0	0	2	0
gbgene577	1	0	3	4	10	8	17	2
gbgene578	2	0	0	0	0	0	0	0
gbgene579	9211	6419	2594	5840	4235	1	6628	6610
gbgene580	9025	4973	2963	5134	4121	4	6304	6780
