Genes	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene18702	0	0	0	0	0	0	0	0
gbgene18703	0	0	1	0	0	0	0	0
gbgene18704	0	0	0	0	0	0	0	0
gbgene18705	0	0	0	0	1	0	0	0
gbgene18706	15	14	10	7	16	3	12	13
gbgene18707	15	12	27	32	29	13	51	51
gbgene18708	0	0	0	0	1	0	0	0
gbgene18709	0	0	1	0	1	0	4	3
gbgene18710	0	0	1	1	0	0	0	1
gbgene18711	0	0	0	0	1	0	2	0
gbgene18712	0	0	0	0	0	0	0	0
gbgene18713	0	0	0	0	0	0	0	0
gbgene18714	0	0	0	0	0	0	0	0
gbgene18715	0	0	0	0	0	0	0	0
gbgene18716	0	0	0	0	0	0	0	0
gbgene18717	0	0	0	0	0	0	0	0
gbgene18718	0	0	0	0	0	0	0	0
gbgene18719	0	0	0	0	0	0	0	0
gbgene18720	0	0	0	0	0	0	0	0
gbgene18721	0	0	0	0	0	0	0	0
gbgene18722	0	0	0	0	0	0	0	0
gbgene18723	0	0	0	0	0	0	0	0
gbgene18724	0	0	0	0	0	0	0	0
gbgene18725	0	0	0	0	0	0	0	0
gbgene18726	0	0	0	0	0	0	0	0
gbgene18727	0	0	0	0	0	0	0	0
gbgene18728	0	0	0	0	0	0	0	0
gbgene18729	0	0	0	0	0	0	0	0
gbgene18730	0	0	0	0	0	0	0	0
gbgene18731	0	0	0	0	0	0	0	0
gbgene18732	0	0	0	0	0	0	0	0
gbgene18733	0	0	0	0	0	0	0	0
gbgene18734	0	0	0	0	0	0	0	0
gbgene18735	0	0	0	0	0	0	0	0
gbgene18736	0	0	0	0	0	0	0	0
gbgene18737	0	0	0	0	0	0	0	0
gbgene18738	0	0	0	0	0	0	0	0
gbgene18739	0	0	0	0	0	0	0	0
gbgene18740	0	0	0	0	0	0	0	0
gbgene18741	0	0	0	0	0	0	0	0
gbgene18742	0	0	0	0	0	0	0	0
gbgene18743	0	0	0	0	0	0	0	0
gbgene18744	0	0	0	0	0	0	0	0
gbgene18745	0	0	0	0	0	0	0	0
gbgene18746	0	0	0	0	0	0	0	0
gbgene18747	0	0	0	0	0	0	0	0
gbgene18748	0	0	0	0	0	0	0	0
gbgene18749	0	0	0	0	0	0	0	0
gbgene18750	0	0	0	0	0	0	0	0
gbgene18751	0	0	0	0	0	0	0	0
gbgene18752	0	0	0	0	0	0	0	0
gbgene18753	0	0	0	0	0	0	0	0
gbgene18754	0	0	0	0	0	0	0	0
gbgene18755	0	0	0	0	0	0	0	0
gbgene18756	0	0	0	0	0	0	0	0
gbgene18757	0	0	0	0	0	0	0	0
gbgene18758	0	0	0	0	0	0	0	0
gbgene18759	0	0	0	0	0	0	0	0
gbgene18760	0	0	0	0	0	0	0	0
gbgene18761	0	0	0	0	0	0	0	0
gbgene18762	0	0	0	0	0	0	0	0
gbgene18763	0	0	0	0	0	0	0	0
gbgene18764	0	0	0	0	0	0	0	0
gbgene18765	0	0	0	0	0	0	0	0
gbgene18766	0	0	0	0	0	0	0	0
gbgene18767	0	0	0	0	0	0	0	0
gbgene18768	0	0	0	0	0	0	0	0
gbgene18769	0	0	0	0	0	0	0	0
gbgene18770	0	0	0	0	0	0	0	0
gbgene18771	0	0	0	0	0	0	0	0
gbgene18772	0	0	0	0	0	0	0	0
gbgene18773	0	0	0	0	0	0	0	0
gbgene18774	15	0	0	0	0	0	0	0
gbgene18775	0	0	0	0	0	0	0	0
gbgene18776	88	20	1	0	0	0	0	0
gbgene18777	0	0	0	0	0	1	0	1
gbgene18778	0	0	0	0	0	0	0	0
gbgene18779	0	0	0	0	0	0	0	0
gbgene18780	0	0	0	0	0	0	0	0
gbgene18781	0	0	0	0	1	0	0	0
gbgene18782	0	0	0	0	2	0	0	0
gbgene18783	0	0	0	0	0	0	0	0
gbgene18784	0	0	0	0	0	0	0	0
gbgene18785	7	12	4	5	3	7	5	0
gbgene18786	7	3	35	73	41	1	117	78
gbgene18787	20269	13381	15797	13511	10583	18080	16307	20872
gbgene18788	4588	1295	2251	4178	2639	1431	3992	4344
gbgene18789	1554	679	841	761	737	922	1078	1072
gbgene18790	17946	14783	56703	27665	9111	9288	8918	20856
gbgene18791	241	139	298	299	269	230	396	372
gbgene18792	2701	1371	1132	2067	1990	56	2501	2441
gbgene18793	2394	611	1047	2103	1661	76	2102	2278
gbgene18794	31	4	8	12	10	1	18	13
gbgene18795	980	460	439	759	490	477	755	841
gbgene18796	272	106	322	329	280	188	298	415
gbgene18797	15	5	18	14	0	1	24	9
gbgene18798	0	0	0	0	0	0	0	0
gbgene18799	0	0	0	0	0	0	0	0
gbgene18800	10	2	0	0	0	0	1	0
gbgene18801	79	32	155	83	28	106	106	132
gbgene18802	3	5	48	79	59	25	68	94
gbgene18803	2805	801	84	1150	489	128	239	111
gbgene18804	0	0	0	0	0	0	0	0
gbgene18805	0	0	0	0	1	0	2	0
gbgene18806	0	0	0	0	0	0	0	0
gbgene18807	0	0	0	0	0	0	0	0
gbgene18808	0	0	0	0	0	0	0	0
gbgene18809	1	0	0	0	0	0	0	0
gbgene18810	0	0	0	0	0	0	0	0
gbgene18811	0	0	0	0	0	0	0	0
gbgene18812	0	0	0	0	2	0	1	0
gbgene18813	0	4	1	0	4	10	2	11
gbgene18814	0	0	0	3	1	0	1	0
gbgene18815	0	0	0	0	0	0	0	0
gbgene18816	3	0	0	0	0	0	0	0
gbgene18817	0	0	0	0	0	0	0	0
gbgene18818	0	0	0	0	0	0	0	0
gbgene18819	0	0	0	2	0	0	0	0
gbgene18820	0	1	0	0	0	0	0	0
gbgene18821	0	0	0	0	0	0	0	0
gbgene18822	0	0	0	1	0	0	2	0
gbgene18823	27	12	1	1	0	3	5	21
gbgene18824	0	0	0	0	0	0	0	0
gbgene18825	0	0	7	2	2	1	7	0
gbgene18826	113	27	1	10	0	13	4	6
gbgene18827	10	4	0	0	1	6	0	0
gbgene18828	0	0	0	0	0	0	0	0
gbgene18829	13	6	3	6	8	8	0	2
gbgene18830	0	0	3	1	3	0	1	0
gbgene18831	21113	12837	1335	870	1554	1473	2613	894
gbgene18832	0	0	3	10	1	18	2	1
gbgene18833	0	0	0	3	2	6	2	1
gbgene18834	53	24	92	158	80	24	158	124
gbgene18835	1146	421	521	1213	766	39	1076	1074
gbgene18836	116	28	54	48	38	4	62	62
gbgene18837	34617	13733	15929	19813	13326	14266	20953	25791
gbgene18838	1009	618	1405	1358	896	1217	1494	1532
gbgene18839	12	4	2	4	5	6	5	3
gbgene18840	12	12	0	4	1	0	14	7
gbgene18841	78	26	52	115	56	33	84	78
gbgene18842	13	9	19	39	19	11	79	57
gbgene18843	6	0	3	1	3	1	0	0
gbgene18844	102	41	111	210	161	20	223	258
gbgene18845	131	84	105	96	47	76	66	97
gbgene18846	7178	3471	3114	6263	4264	351	6776	7144
gbgene18847	19	11	44	27	8	10	13	29
gbgene18848	207	135	307	277	167	281	245	216
gbgene18849	1628	801	614	781	613	450	886	920
gbgene18850	92	76	121	101	77	214	149	146
gbgene18851	299	321	261	259	120	214	302	364
gbgene18852	3105	1372	3309	2986	2043	2992	2971	3331
gbgene18853	111	75	144	122	55	245	129	102
gbgene18854	6	56	3	0	1	3	0	3
gbgene18855	0	0	0	0	0	0	0	0
gbgene18856	2	7	12	9	10	2	12	11
gbgene18857	40	69	46	33	43	29	75	64
gbgene18858	0	0	0	0	0	0	0	0
gbgene18859	72	71	174	75	56	91	98	155
gbgene18860	2242	372	71	87	495	3	190	190
gbgene18861	2214	711	1259	3319	6114	299	1810	4631
gbgene18862	2635	1858	934	1646	1462	129	2307	2588
gbgene18863	90	58	35	79	48	9	57	83
gbgene18864	703	341	278	285	1151	498	264	214
gbgene18865	3863	1533	5835	6191	5762	6925	8150	4679
gbgene18866	0	0	0	0	3	0	0	0
gbgene18867	1	0	0	0	0	1	0	0
gbgene18868	3	1	0	1	1	0	1	0
gbgene18869	2	1	4	0	0	0	2	6
gbgene18870	203	120	1881	2492	120	368	183	2259
gbgene18871	115	57	675	750	40	128	64	837
gbgene18872	0	1	8	0	0	0	1	0
gbgene18873	0	0	0	0	0	0	0	0
gbgene18874	3368	1437	5206	5192	2763	3467	4186	4968
gbgene18875	2589	1416	726	1299	1291	5	1830	1608
gbgene18876	170	33	24	30	9	2	64	18
gbgene18877	0	4	0	0	0	0	0	4
gbgene18878	7610	6514	1908	4330	3329	1	4896	5084
gbgene18879	0	0	0	0	0	0	0	0
gbgene18880	10	3	129	10	6	28	9	30
gbgene18881	385	124	335	290	298	251	220	383
gbgene18882	13	4	3	18	9	3	3	27
gbgene18883	4	0	0	0	0	13	5	13
gbgene18884	32	234	88	72	24	113	50	553
gbgene18885	0	0	1	10	4	19	1	4
gbgene18886	0	0	0	0	0	0	0	1
gbgene18887	1	4	0	8	16	3	17	0
gbgene18888	1	3	0	0	0	0	0	0
gbgene18889	0	0	0	2	0	0	0	0
gbgene18890	2	0	0	0	0	0	0	0
gbgene18891	0	0	0	1	0	0	0	0
gbgene18892	0	0	0	1	0	0	0	1
gbgene18893	0	0	0	6	0	0	0	0
gbgene18894	0	0	0	0	0	0	0	3
gbgene18895	43	35	54	161	86	20	120	102
gbgene18896	22	35	87	80	30	33	51	38
gbgene18897	645	452	1	0	1	4	1	0
gbgene18898	2	0	0	0	1	0	4	0
gbgene18899	69	12	0	19	15	1	26	13
gbgene18900	0	0	0	0	0	0	0	0
gbgene18901	1	0	0	0	0	0	0	0
gbgene18902	3865	1766	2285	2655	1954	2147	3135	3169
gbgene18903	0	2	2	0	0	0	1	4
gbgene18904	2191	842	869	1706	1481	2	1794	2563
gbgene18905	157	88	98	149	131	53	215	207
gbgene18906	1102	482	647	1248	855	608	1086	1113
gbgene18907	637	194	151	119	92	67	288	239
gbgene18908	235	19	23	87	62	8	62	103
gbgene18909	14928	10514	12944	10095	7348	13905	13285	13132
gbgene18910	1	0	0	0	0	0	0	0
gbgene18911	446	1001	1853	21	0	21	7	2
gbgene18912	557722	281754	2370	1553	135	550	420	1174
gbgene18913	3	0	0	0	0	0	0	0
gbgene18914	0	0	2	0	0	0	0	0
gbgene18915	1	0	0	0	0	0	0	1
gbgene18916	3	0	0	1	0	0	0	0
gbgene18917	2	0	0	0	0	0	0	0
gbgene18918	0	0	0	0	0	0	0	0
gbgene18919	0	0	0	0	0	0	0	1
gbgene18920	0	0	0	0	0	0	0	0
gbgene18921	0	0	0	0	0	0	0	0
gbgene18922	0	0	0	0	0	0	0	0
gbgene18923	0	0	13	5	0	0	5	0
gbgene18924	0	0	20	5	0	0	0	1
gbgene18925	672	440	770	807	689	762	1178	1185
gbgene18926	2266	1238	2009	1822	1290	1376	2299	1918
gbgene18927	4490	2706	9085	8498	3829	8001	6357	8115
gbgene18928	6	0	1	0	1	1	0	0
gbgene18929	2	2	1	1	3	0	0	4
gbgene18930	2	0	2	6	5	4	2	7
gbgene18931	0	0	17	10	7	9	14	18
gbgene18932	7	0	6	7	14	4	4	1
gbgene18933	0	0	28	11	20	13	26	36
gbgene18934	3	0	15	3	3	8	6	10
gbgene18935	1	0	3	6	6	18	10	7
gbgene18936	0	1	0	0	0	0	0	0
gbgene18937	0	0	0	0	0	2	0	0
gbgene18938	15	5	1074	3547	4034	822	45780	4018
gbgene18939	864	385	585	673	458	352	776	758
gbgene18940	324	118	138	106	153	175	159	72
gbgene18941	1531	751	1241	986	846	1584	1570	637
gbgene18942	568	468	799	393	132	628	484	427
gbgene18943	1	1	0	0	0	0	0	0
gbgene18944	1	1	0	5	2	2	0	2
gbgene18945	0	0	0	0	0	0	0	5
gbgene18946	7	8	55	57	31	71	16	77
gbgene18947	234	268	121	189	166	44	241	232
gbgene18948	230	77	174	107	185	176	365	231
gbgene18949	1715	1340	407	798	1040	147	1368	889
gbgene18950	2041	857	653	1260	1052	115	1081	1161
gbgene18951	19	25	164	120	66	176	37	137
gbgene18952	196	51	136	118	113	195	155	129
gbgene18953	1706	543	711	1444	1109	230	1535	1304
gbgene18954	5031	2336	1715	4487	3178	183	4705	4489
gbgene18955	7	0	6	1	2	5	7	7
gbgene18956	1148	698	1611	1436	632	3919	1246	1347
gbgene18957	19	30	36	217	14	13	85	233
gbgene18958	0	0	0	2	0	1	0	0
gbgene18959	0	0	2	0	0	1	1	1
gbgene18960	0	0	0	0	0	0	0	1
gbgene18961	1	0	1	4	0	2	1	0
gbgene18962	0	0	0	0	0	3	0	0
gbgene18963	0	0	0	1	0	0	0	0
gbgene18964	1	0	0	0	0	8	2	1
gbgene18965	4	5	0	8	0	1	0	2
gbgene18966	31	9	1	2	0	0	0	0
gbgene18967	3	0	0	0	1	0	2	2
gbgene18968	7	1	5	0	1	0	0	1
gbgene18969	2	0	0	0	1	0	0	0
gbgene18970	149	65	75	103	117	0	160	155
gbgene18971	1	1	2	0	0	2	1	4
gbgene18972	1	6	12	0	13	18	15	13
gbgene18973	1	1	0	1	0	0	1	2
gbgene18974	0	0	0	0	0	0	0	0
gbgene18975	4	0	4	1	0	3	6	4
gbgene18976	0	0	1	0	2	0	1	1
gbgene18977	0	0	0	0	2	1	0	0
gbgene18978	0	0	0	0	0	0	0	0
gbgene18979	0	0	0	0	0	0	0	0
gbgene18980	0	4	1	3	0	0	0	2
gbgene18981	0	0	0	4	0	0	0	3
gbgene18982	0	3	0	2	1	0	0	3
gbgene18983	19	12	2	7	0	1	0	1
gbgene18984	137	96	365	211	129	218	103	91
gbgene18985	179	28	94	39	59	0	58	56
gbgene18986	10	5	0	1	4	0	1	1
gbgene18987	1	0	0	0	0	0	0	0
gbgene18988	1	24	0	0	0	0	0	0
gbgene18989	0	0	0	0	0	0	0	0
gbgene18990	0	0	0	4	0	5	0	0
gbgene18991	1509	616	558	498	801	858	876	248
gbgene18992	286	206	131	129	204	247	211	71
gbgene18993	96	132	199	154	102	265	142	238
gbgene18994	0	0	0	0	0	0	0	0
gbgene18995	0	0	0	1	0	0	0	0
gbgene18996	0	0	0	0	3	0	0	0
gbgene18997	0	2	1	0	0	0	5	3
gbgene18998	0	0	1	0	4	0	4	1
gbgene18999	43	48	11	9	5	13	14	10
gbgene19000	2	8	2	2	0	6	3	0
gbgene19001	0	0	0	0	0	0	0	0
gbgene19002	13	22	0	41	27	45	16	19
gbgene19003	2460	1097	1801	2169	1504	1180	2531	2519
gbgene19004	7	10	3	2	0	2	0	1
gbgene19005	302	109	343	261	211	485	256	272
gbgene19006	0	0	0	0	0	1	0	0
gbgene19007	321	27	12	17	9	1	13	13
gbgene19008	94	60	81	69	27	139	79	73
gbgene19010	0	0	0	0	0	0	0	0
gbgene19009	10555	5364	8070	6206	3677	8821	6479	8777
gbgene19011	924	470	437	1025	633	19	981	1011
gbgene19012	326	217	413	362	310	547	508	584
gbgene19013	1	1	0	0	0	2	0	0
gbgene19014	863	518	435	606	439	140	683	726
gbgene19015	2	0	0	0	0	0	0	0
gbgene19016	1	0	0	0	0	0	0	0
gbgene19017	41	13	53	57	33	61	62	41
gbgene19018	0	0	0	0	0	0	0	0
gbgene19019	46	9	1	0	0	0	0	0
gbgene19020	43	60	92	75	92	99	84	11
gbgene19021	18	5	5	14	10	14	32	12
gbgene19022	2	0	1	0	0	0	2	0
gbgene19023	0	3	1	3	0	0	0	0
gbgene19024	1466	625	1256	1517	1080	670	2099	1757
gbgene19025	11	7	6	30	6	5	7	10
gbgene19026	1	0	0	1	0	0	0	19
gbgene19027	33	12	22	21	19	20	14	26
gbgene19028	12	17	17	20	1	21	16	18
gbgene19029	2	0	2	7	10	31	0	69
gbgene19030	28	4	101	54	19	33	34	36
gbgene19031	0	0	0	0	0	0	0	0
gbgene19032	0	0	0	0	0	0	0	0
gbgene19033	0	3	0	2	0	0	5	9
gbgene19034	0	0	0	7	0	0	0	7
gbgene19035	0	0	0	0	0	0	0	2
gbgene19036	29	10	2	9	2	1	1	23
gbgene19037	0	0	0	0	0	0	0	0
gbgene19038	0	0	0	0	0	0	0	0
gbgene19039	0	0	3	0	0	0	0	0
gbgene19040	0	0	0	0	0	0	0	0
gbgene19041	0	5	0	1	0	4	5	6
gbgene19042	4	2	4	1	0	1	0	0
gbgene19043	0	0	20	11	8	43	8	32
gbgene19044	0	0	4	0	0	2	1	0
gbgene19045	0	0	0	0	2	0	0	0
gbgene19046	0	0	0	0	4	0	0	0
gbgene19047	2	3	5	0	6	4	4	0
gbgene19048	5	0	0	0	11	0	0	0
gbgene19049	4	0	0	0	0	0	0	0
gbgene19050	0	0	0	0	11	0	0	0
gbgene19051	4	0	0	1	9	1	0	0
gbgene19052	0	0	0	0	27	0	0	0
gbgene19053	3	0	0	1	9	0	0	1
gbgene19054	921	598	947	828	815	1091	1199	1241
gbgene19055	2418	1774	992	2022	1657	116	2603	2194
gbgene19056	70	25	40	38	37	12	60	52
gbgene19057	4	4	1	1	1	1	0	0
gbgene19058	610	361	162	416	385	35	388	466
gbgene19059	3	1	0	0	0	0	0	1
gbgene19060	0	0	0	3	2	0	0	1
gbgene19061	0	0	0	0	0	0	0	0
gbgene19062	0	2	0	1	0	0	5	8
gbgene19063	187	75	80	87	81	53	123	120
gbgene19064	0	0	0	0	0	0	0	1
gbgene19065	0	0	0	4	1	0	1	9
gbgene19066	4	10	39	33	17	17	30	12
gbgene19067	3	7	23	11	6	9	17	7
gbgene19068	32	14	47	13	9	4	14	15
gbgene19069	39	9	27	35	18	9	33	28
gbgene19070	2041	805	862	1956	1511	80	2189	2107
gbgene19071	7	4	11	19	21	4	44	40
gbgene19072	2360	1600	6904	2923	952	9723	3951	4653
gbgene19073	0	0	0	5	1	0	3	6
gbgene19074	233	297	229	273	207	207	124	35
gbgene19075	1512	891	879	1623	979	193	1581	1559
gbgene19076	1379	708	1852	1689	1181	1293	2403	1774
gbgene19077	0	0	1	1	0	0	0	0
gbgene19078	123	223	686	676	166	492	338	578
gbgene19079	2167	3269	1557	1120	946	2703	1378	391
gbgene19080	3	0	0	0	0	0	0	0
gbgene19081	0	0	0	0	0	0	0	0
gbgene19082	33	21	52	27	133	99	467	57
gbgene19083	3121	3332	13503	8197	6076	16252	13552	2739
gbgene19084	0	0	1	1	0	0	2	2
gbgene19085	0	1	0	0	0	0	0	0
gbgene19086	0	0	0	0	0	0	0	0
gbgene19087	0	0	0	0	0	0	0	0
gbgene19088	23	5	0	0	0	0	0	0
gbgene19089	1033	621	823	1120	826	528	1406	1334
gbgene19090	2222	935	1120	1938	1160	937	1658	2075
gbgene19091	1	6	0	0	0	0	0	0
gbgene19092	0	0	0	0	0	0	0	0
gbgene19093	0	0	0	0	0	0	0	0
gbgene19094	1	0	1	0	0	0	1	0
gbgene19095	4	5	60	3	7	6	10	83
gbgene19096	0	3	0	0	0	2	3	0
gbgene19097	719	597	845	1835	1026	3252	1592	3167
gbgene19098	43	12	23	50	219	29	256	144
gbgene19099	0	0	0	2	0	0	0	0
gbgene19100	280	168	211	221	335	85	317	267
gbgene19101	0	0	2	1	0	0	5	0
gbgene19102	0	2	7	1	0	13	2	1
gbgene19103	9364	3740	2263	3654	3507	1	4224	5136
gbgene19104	37	12	63	58	17	54	19	68
gbgene19105	405	320	0	2	5	1	1	3
gbgene19106	4	1	0	8	0	5	3	10
gbgene19107	129	86	91	58	62	37	92	73
gbgene19108	1258	606	1536	1065	713	1195	1013	1255
gbgene19109	3550	1639	1294	2922	2088	179	2602	2946
gbgene19110	1446	835	1526	781	892	2113	1247	1183
gbgene19111	248	79	28	6	39	56	44	25
gbgene19112	0	0	0	0	0	0	0	0
gbgene19113	12	5	5	4	4	3	15	4
gbgene19114	38	37	51	23	25	25	55	54
gbgene19115	384	115	191	292	174	95	271	272
gbgene19116	180	133	141	176	140	138	212	269
gbgene19117	1034	394	1282	1619	1024	724	1462	1743
gbgene19118	1518	24	57	126	117	6	153	213
gbgene19119	0	0	0	0	0	0	0	0
gbgene19120	2368	2149	1989	1030	776	2353	1446	2418
gbgene19121	4070	2157	1300	2304	1731	416	3010	2540
gbgene19122	5	53	68	133	172	103	402	141
gbgene19123	2433	1020	1174	2409	1766	554	2137	2421
gbgene19124	1287	600	586	1369	952	79	1879	1449
gbgene19125	2	1	8	9	0	5	1	7
gbgene19126	433	286	367	411	510	508	806	344
gbgene19127	722	444	895	699	472	1107	727	675
gbgene19128	123	90	192	140	101	141	155	211
gbgene19129	6	8	0	0	1	0	0	0
gbgene19130	0	0	1	0	0	0	0	3
gbgene19131	485	248	444	329	226	604	531	477
gbgene19132	1187	640	2133	1598	794	1254	1314	1957
gbgene19133	242	102	132	296	166	41	299	235
gbgene19134	280	146	129	260	173	50	265	238
gbgene19135	903	419	417	695	453	178	839	673
gbgene19136	407	173	313	395	272	171	463	422
gbgene19137	0	0	0	0	0	0	0	0
gbgene19138	0	0	0	0	0	0	0	0
gbgene19139	0	0	0	0	0	0	0	0
gbgene19140	0	0	0	0	0	0	0	0
gbgene19141	0	0	0	0	0	0	0	0
gbgene19142	0	0	0	0	0	0	0	0
gbgene19143	0	0	0	0	0	0	0	0
gbgene19144	4	0	3	2	0	0	1	0
gbgene19145	0	0	0	0	0	0	0	0
gbgene19146	14	1	0	0	0	0	0	0
gbgene19147	0	4	0	0	0	0	0	0
gbgene19148	2	0	0	2	1	0	0	0
gbgene19149	0	1	2	2	0	0	0	0
gbgene19150	0	0	0	0	1	0	0	6
gbgene19151	26	3	3	9	3	0	7	3
gbgene19152	1	17	8	12	3	0	31	11
gbgene19153	987	565	768	645	343	755	445	531
gbgene19154	10	83	48	39	27	27	60	77
gbgene19155	53	35	156	79	73	213	106	93
gbgene19156	15	1	2	0	0	3	0	0
gbgene19157	217	60	420	471	315	158	479	386
gbgene19158	3432	1693	1041	2489	1466	3	2122	2546
gbgene19159	78	46	122	61	14	80	89	87
gbgene19160	0	1	3	5	4	3	0	0
gbgene19161	32	17	17	29	4	15	15	11
gbgene19162	82	44	81	91	42	23	132	102
gbgene19163	271	147	202	164	137	186	180	258
gbgene19164	509	193	466	663	371	155	668	598
gbgene19165	94	105	192	258	200	189	203	327
gbgene19166	1043	1124	647	812	862	1251	1197	1207
gbgene19167	1090	506	354	736	388	10	839	775
gbgene19168	12	1	9	5	5	8	5	587
gbgene19169	6496	2981	2134	4296	3005	30	4907	4672
gbgene19170	1125	575	842	874	698	933	1283	1222
gbgene19171	38	21	84	51	23	38	44	47
gbgene19172	1426	967	891	969	1006	1275	1550	1381
gbgene19173	815	417	229	420	410	160	486	496
gbgene19174	317	229	170	234	117	55	129	277
gbgene19175	13	9	0	4	2	2	3	10
gbgene19176	262	112	130	200	67	86	158	167
gbgene19177	4774	2451	1874	2284	3203	8	4661	5003
gbgene19178	15	8	29	17	7	7	12	18
gbgene19179	8	6	52	19	15	123	99	41
gbgene19180	4	1	1	2	3	24	2	2
gbgene19181	355	162	414	365	248	307	403	186
gbgene19182	459	172	166	184	185	160	249	251
gbgene19183	5	5	1	1	0	1	1	0
gbgene19184	119	65	115	313	50	44	388	261
gbgene19185	948	238	475	696	488	298	837	707
gbgene19186	0	0	0	1	0	0	0	0
gbgene19187	21	16	60	46	30	33	20	26
gbgene19188	50	42	130	230	72	18	26	227
gbgene19189	1	0	15	12	12	13	23	14
gbgene19190	0	1	0	0	0	0	2	1
gbgene19191	0	0	0	0	0	0	0	0
gbgene19192	615	341	705	647	306	932	540	529
gbgene19193	1	0	8	5	0	4	4	0
gbgene19194	3	1	2	2	4	1	0	2
gbgene19195	0	0	9	4	0	2	1	0
gbgene19196	69	41	88	47	26	74	51	29
gbgene19197	805	663	848	611	1025	1749	1745	252
gbgene19198	53	17	140	89	93	115	132	98
gbgene19199	1025	337	1219	819	660	912	989	982
gbgene19200	147	248	267	473	461	107	325	729
gbgene19201	1	5	10	13	7	4	15	9
gbgene19202	0	0	0	0	0	0	0	0
gbgene19203	2	2	0	0	3	2	2	2
gbgene19204	4	3	2	3	4	3	3	2
gbgene19205	0	1	2	4	2	1	0	0
gbgene19206	0	0	0	0	32	0	0	0
gbgene19207	0	0	4	14	8	10	22	23
gbgene19208	108	53	64	68	30	45	76	74
gbgene19209	504	325	1059	712	485	1307	1076	530
gbgene19210	265	188	240	214	182	193	349	287
gbgene19211	33	7	245	779	858	1078	902	1065
gbgene19212	6	2	0	2	4	0	8	1
gbgene19213	0	0	0	3	0	0	1	6
gbgene19214	35	38	33	18	13	17	14	21
gbgene19215	0	0	1	0	0	0	0	0
gbgene19216	0	0	0	1	3	0	1	6
gbgene19217	0	0	2	6	1	14	0	0
gbgene19218	2	2	1	0	0	0	0	0
gbgene19219	0	10	1	26	1	22	0	0
gbgene19220	0	0	0	0	0	0	0	0
gbgene19221	0	0	0	5	2	0	0	0
gbgene19222	0	0	0	0	0	0	0	0
gbgene19223	0	0	0	1	0	0	0	0
gbgene19224	0	0	0	0	0	0	0	0
gbgene19225	0	0	0	5	1	11	0	3
gbgene19226	0	0	0	0	0	0	0	0
gbgene19227	0	0	0	0	0	0	0	0
gbgene19228	0	0	0	1	0	0	0	0
gbgene19229	3	4	0	0	1	1	10	0
gbgene19230	19	19	3	11	3	5	37	10
gbgene19231	10	11	0	8	1	1	8	4
gbgene19232	0	0	0	2	1	0	6	0
gbgene19233	0	0	2	1	2	0	3	4
gbgene19234	6	2	17	22	9	21	11	6
gbgene19235	70	26	20	90	3	67	12	10
gbgene19236	82	58	3	29	3	0	3	5
gbgene19237	114	105	3	18	2	1	8	5
gbgene19238	14	0	1	26	0	5	0	2
gbgene19239	31	5	22	19	18	13	17	32
gbgene19240	23	16	2	15	8	18	3	9
gbgene19241	2707	1067	1325	2208	1655	631	2733	2219
gbgene19242	274	128	272	345	221	224	353	401
gbgene19243	340	4	3	4	0	3	4	2
gbgene19244	3353	2393	2180	2735	2202	2668	3275	4156
gbgene19245	18	25	8	4	27	11	43	26
gbgene19246	0	1	0	0	0	0	0	0
gbgene19247	0	0	6	3	5	1	23	25
gbgene19248	238	138	299	84	43	215	321	206
gbgene19249	39	13	43	48	177	111	244	105
gbgene19250	708	202	569	949	612	189	1156	708
gbgene19251	0	0	23	2	8	3	33	30
gbgene19252	15468	5204	4260	2672	118	427	451	2957
gbgene19253	17608	7454	29079	18319	457	2439	686	25457
gbgene19254	0	0	0	1	0	0	0	0
gbgene19255	0	0	0	0	0	0	0	0
gbgene19256	317	267	2402	1921	1119	1842	1217	3879
gbgene19257	276	63	154	239	201	128	202	342
gbgene19258	16	9	36	24	5	15	16	46
gbgene19259	6263	2210	2489	5753	4704	21	7119	5578
gbgene19260	236	280	305	429	315	158	406	391
gbgene19261	711	252	258	683	371	53	312	320
gbgene19262	363	416	7	3	10	8	20	49
gbgene19263	2	0	2	1	2	1	0	0
gbgene19264	0	0	0	2	0	4	0	0
gbgene19265	1236	1045	2603	1630	733	5283	2224	2715
gbgene19266	1435	961	3246	1489	726	3730	2340	2945
gbgene19267	5	1	0	0	0	1	1	3
gbgene19268	376	180	589	818	458	678	584	1237
gbgene19269	1953	814	505	881	746	315	1011	980
gbgene19270	40	11	12	28	19	3	24	24
gbgene19271	0	1	0	0	0	0	2	1
gbgene19272	52335	29714	12110	19064	18253	18	26466	30837
gbgene19273	58	45	7	6	159	39	8	12
gbgene19274	0	0	3	25	11	24	0	42
gbgene19275	325	219	388	529	328	395	487	481
gbgene19276	463	213	488	583	334	348	389	527
gbgene19277	137	56	12	68	19	11	53	24
gbgene19278	242	98	130	150	86	77	127	145
gbgene19279	269	155	125	168	99	108	179	188
gbgene19280	2207	1028	1611	2260	1604	1219	2196	1984
gbgene19281	0	0	1	15	0	0	3	1
gbgene19282	84	47	276	236	150	306	229	99
gbgene19283	194	114	742	879	6953	10132	7317	7261
gbgene19284	26	29	66	55	19	57	32	58
gbgene19285	5	0	0	0	0	0	0	0
gbgene19286	546	654	9	7	11	69	19	14
gbgene19287	13	5	13	5	5	17	11	7
