transcripts	GO-terms
gbgene196	GO:0032182,GO:2000436,GO:0030308,GO:0000151,GO:0045116,GO:0097602,GO:0051443,GO:0031624,GO:0005886,GO:0043065,GO:0048471
gbgene197	GO:0008150,GO:0003674,GO:0005575
gbgene198	
gbgene199	GO:0006508,GO:0004252
gbman.GBUE021145-PA.1	
gbgene200	GO:0045187,GO:0042803,GO:0005737,GO:0017022,GO:0097602,GO:0043161,GO:0030431,GO:0051260,GO:0031463
gbgene201	GO:0005739,GO:0005315,GO:0015709,GO:0015729,GO:0008272,GO:0015131,GO:0015117,GO:0035435,GO:0015140,GO:0015141,GO:0071423,GO:0071422,GO:0015116,GO:0015297
gbgene202	GO:0005739,GO:0008808,GO:0007006,GO:0046474,GO:0016020,GO:0006754,GO:0032049
gbgene203	GO:0019243,GO:0001666,GO:0004416
gbgene204	GO:0043065,GO:0097190,GO:0003677,GO:0031011
gbgene205	GO:0008028,GO:0016021,GO:0015718,GO:0055085
gbgene206	GO:0006826,GO:0005737,GO:0010106,GO:0008199,GO:0008198,GO:0006880
gbgene207	
gbgene208	
gbgene209	GO:0042393,GO:0006355,GO:0005721,GO:0045893,GO:0042981,GO:0051276,GO:0003696,GO:0010369,GO:0010629,GO:0000122,GO:0005701,GO:0000779,GO:0005515,GO:0031060,GO:1900111,GO:0090309,GO:0000723,GO:0000182,GO:0000792,GO:0035064,GO:0031508,GO:0034773,GO:0045892,GO:0000781,GO:0005694,GO:0005634,GO:0006325,GO:0003729,GO:0031507,GO:0000791,GO:0000793,GO:0000775,GO:0005700,GO:0000278,GO:0003723,GO:0003682,GO:0005703
gbgene210	
gbgene211	GO:0006351,GO:0005515,GO:0005666
gbgene212	GO:0050832,GO:0006508,GO:0035008,GO:0004252,GO:0045752,GO:0008592,GO:0050830,GO:0045087
gbgene213	GO:0050832,GO:0006508,GO:0035008,GO:0004252,GO:0045752,GO:0008592,GO:0050830,GO:0045087
gbgene214	GO:0008150,GO:0003674,GO:0005575
gbgene215	
gbgene216	GO:0045035,GO:0045178,GO:0008347,GO:0051960,GO:0010629,GO:0005737,GO:0008104,GO:0035050,GO:0005515,GO:0045807,GO:1902692,GO:0009786,GO:0055059,GO:0042694,GO:0005938,GO:0034613,GO:0035883,GO:0061320,GO:0007405,GO:0005112,GO:0016360,GO:0014019,GO:0050767,GO:0051642,GO:0001920,GO:0007406,GO:0045746,GO:0061382
gbgene217	GO:0007010,GO:0006508,GO:0035220,GO:0004252,GO:0051017,GO:0005886
gbgene218	
gbgene219	
gbman.GBUE007096-PA.1	GO:0016575,GO:0005737,GO:0030307,GO:0006355,GO:0043697,GO:0005515,GO:0031507,GO:0045129,GO:0007406,GO:0000118,GO:0006357,GO:0004407,GO:0005634,GO:0019904,GO:0043066
gbgene221	GO:1990023,GO:0010800,GO:0004674,GO:0007091,GO:0016028,GO:0006468,GO:0005938,GO:0030866,GO:0045313,GO:0008284,GO:0000902,GO:0042052,GO:0060446,GO:0005524,GO:0007052,GO:0032879,GO:0032154,GO:0000132
gbgene222	GO:0006508,GO:0017171,GO:0004252
gbgene223	GO:0030727,GO:2000738,GO:0045892,GO:0005829,GO:0005634
gbgene224	GO:0070404,GO:0005737,GO:0004155,GO:0006559,GO:0070402,GO:0006729
gbgene225	GO:0045747,GO:0044214
gbgene226	
gbgene227	GO:0004842,GO:0005737,GO:0061630,GO:0032436,GO:0043161,GO:0034657,GO:0005634
gbgene228	
gbgene229	
gbgene230	
gbgene231	
gbgene232	GO:0006357,GO:0046983,GO:0000978,GO:0000981
gbgene233	GO:0022416,GO:0003743,GO:0003729,GO:0016281,GO:0006413
gbgene234	GO:0012505,GO:0016021,GO:0048278,GO:0006886,GO:0016081,GO:0005515,GO:0031201,GO:0000149,GO:0007143,GO:0006906,GO:0005886,GO:0000278,GO:0007140,GO:0005484
gbgene235	GO:0003676,GO:0004535,GO:0006402,GO:0005737,GO:0030014,GO:0005515,GO:0005829,GO:0017148,GO:0030015,GO:0000932,GO:0006351,GO:0043928,GO:0000289,GO:0000288
gbgene236	GO:0008150,GO:0003674,GO:0005575
gbgene237	GO:0003924,GO:0005525,GO:0002181,GO:0005737
gbgene238	
gbgene239	
gbgene240	
gbman.GBUE006964-PA.1	GO:0062129,GO:0040003,GO:0008010
gbgene242	GO:0000398,GO:0003712,GO:0071011,GO:0070063,GO:0071013,GO:0005634
gbgene243	GO:0030727,GO:0045944,GO:0030100,GO:0005737,GO:0005634,GO:0035035,GO:0007528,GO:0005515,GO:0005705,GO:0045893,GO:0030718,GO:0044545,GO:0048477,GO:0003682,GO:0007526
gbgene244	GO:0071004,GO:0000398,GO:0003729,GO:0005685,GO:0006376,GO:0010628
gbgene245	GO:0000122,GO:0035214,GO:0000978,GO:0007477,GO:0005737,GO:0001745,GO:0007435,GO:0007469,GO:0048856,GO:0001654,GO:0000977,GO:0006357,GO:0005634,GO:0048749,GO:0000981
gbgene246	
gbgene247	GO:0006470,GO:0019722,GO:0005737,GO:0050906,GO:0004722,GO:0005829,GO:0005509,GO:0007602,GO:0005506,GO:0005516,GO:0016059,GO:0030145,GO:0004723,GO:0005634,GO:0043052
gbgene248	GO:0070855,GO:0005654,GO:0046716,GO:0051383,GO:0005814,GO:0032036,GO:0031477,GO:0005886,GO:0097431,GO:0019722,GO:0005737,GO:0006468,GO:0016062,GO:0005515,GO:0005509,GO:0007099,GO:2001259,GO:0016028,GO:0005813,GO:0030048,GO:0072499,GO:0007605,GO:0030234,GO:0031476,GO:0035071,GO:0016060,GO:0005829,GO:0016061,GO:0005819,GO:0071361,GO:0016056,GO:0031475,GO:0016059,GO:0042052,GO:0031489,GO:0072686,GO:0030496,GO:0007608
gbgene249	GO:0030234,GO:0005509
gbgene250	GO:0006470,GO:0019722,GO:0005737,GO:0050906,GO:0004722,GO:0005829,GO:0005509,GO:0007602,GO:0005506,GO:0005516,GO:0016059,GO:0030145,GO:0004723,GO:0005634,GO:0043052
gbgene251	GO:0006470,GO:0019722,GO:0005737,GO:0050906,GO:0004722,GO:0005829,GO:0005509,GO:0007602,GO:0005506,GO:0005516,GO:0016059,GO:0030145,GO:0004723,GO:0005634,GO:0043052
gbgene252	
gbgene253	
gbgene254	
gbgene255	GO:1990709,GO:0005509,GO:0043679,GO:0097060,GO:0005886
gbgene256	GO:0015035,GO:0012505,GO:0005783,GO:0006457,GO:0034976,GO:0003756
gbgene257	GO:1990709,GO:0005509,GO:0043679,GO:0097060,GO:0005886
gbgene258	
gbgene259	GO:0031647,GO:0004843,GO:0035331,GO:0016579,GO:0016578,GO:0005829,GO:0031507,GO:0032991,GO:0045880,GO:0004197,GO:0006511,GO:0005700,GO:0000792,GO:0005634
gbgene260	GO:1990023,GO:0032133,GO:0004843,GO:1990385,GO:0045132,GO:0005737,GO:0016579,GO:0000281,GO:0007110,GO:0051225,GO:0043066,GO:0000775,GO:0000915,GO:0007052,GO:0000776,GO:0007111,GO:0033206
gbgene261	GO:0007605,GO:0004439,GO:0005737,GO:0097546,GO:0061512,GO:0016020,GO:0046856
gbman.GBUE006589-PA.1	GO:0045187,GO:0071949,GO:0032922,GO:0043153,GO:0042752,GO:0009785,GO:0003913,GO:0005737,GO:0005515,GO:0007602,GO:0009637,GO:0009881,GO:0071000,GO:0009416,GO:0009588,GO:0003677,GO:0045892,GO:0050660,GO:0045475,GO:0009649,GO:0042332,GO:0007623,GO:0005634,GO:0050980,GO:0005829,GO:0008020,GO:0050958,GO:0071482,GO:0009882,GO:0048512
gbgene263	GO:0048149,GO:0070905,GO:0019264,GO:0004372,GO:0042752,GO:0005737,GO:0051289,GO:0035999,GO:0046653,GO:0006730,GO:0046655,GO:0000900,GO:0005634,GO:0008270,GO:0009113,GO:0006565,GO:0042803,GO:0005829,GO:0030170,GO:0048027
gbgene264	GO:0045824,GO:0007290,GO:0019773,GO:0005737,GO:0005829,GO:0001673,GO:0005839,GO:0010498,GO:0007291,GO:0006511,GO:0005634,GO:0050829
gbgene265	GO:0006508,GO:0017171,GO:0004252
gbgene266	
gbgene267	
gbgene268	GO:0008270,GO:0016836,GO:0004089,GO:0006730
gbgene269	
gbgene270	
gbgene271	
gbgene272	GO:0008270,GO:0016836,GO:0004089,GO:0006730
gbgene273	
gbgene274	
gbgene275	
gbgene276	
gbgene277	
gbgene278	GO:0008150,GO:0005634,GO:0005737,GO:0031072
